DT = 1

	 Tn 	 Dbeta 
	244.200000 0.00000000000003426673 
	241.600000 0.00000000000002652841 
	239.100000 0.00000000000002047855 
	236.600000 0.00000000000001576198 
	234.100000 0.00000000000001209383 
	231.600000 0.00000000000000925385 
	229.100000 0.00000000000000706269 
	226.600000 0.00000000000000537378 
	224.000000 0.00000000000000407865 
	221.500000 0.00000000000000308570 
	218.900000 0.00000000000000232719 
	216.200000 0.00000000000000175028 
	213.500000 0.00000000000000131282 
	210.800000 0.00000000000000098217 
	207.700000 0.00000000000000073308 
	204.300000 0.00000000000000054588 
	200.800000 0.00000000000000040521 
	197.100000 0.00000000000000029911 
	193.500000 0.00000000000000021933 
	190.000000 0.00000000000000015969 
	186.600000 0.00000000000000011541 
	183.400000 0.00000000000000008274 
	180.500000 0.00000000000000005880 
	177.800000 0.00000000000000004143 
	175.400000 0.00000000000000002894 
	173.400000 0.00000000000000002004 
	171.700000 0.00000000000000001377 
	170.400000 0.00000000000000000939 
	169.600000 0.00000000000000000635 
	169.200000 0.00000000000000000427 
	169.400000 0.00000000000000000285 
DT = 2

	 Tn 	 Dbeta 
	244.200000 0.00000000000006858692 
	241.600000 0.00000000000005310327 
	239.100000 0.00000000000004099684 
	236.600000 0.00000000000003155760 
	234.100000 0.00000000000002421588 
	231.600000 0.00000000000001853118 
	229.100000 0.00000000000001414478 
	226.600000 0.00000000000001076348 
	224.000000 0.00000000000000817033 
	221.500000 0.00000000000000618196 
	218.900000 0.00000000000000466290 
	216.200000 0.00000000000000350741 
	213.500000 0.00000000000000263112 
	210.800000 0.00000000000000196872 
	207.700000 0.00000000000000146967 
	204.300000 0.00000000000000109457 
	200.800000 0.00000000000000081266 
	197.100000 0.00000000000000060000 
	193.500000 0.00000000000000044005 
	190.000000 0.00000000000000032047 
	186.600000 0.00000000000000023166 
	183.400000 0.00000000000000016611 
	180.500000 0.00000000000000011808 
	177.800000 0.00000000000000008321 
	175.400000 0.00000000000000005813 
	173.400000 0.00000000000000004027 
	171.700000 0.00000000000000002766 
	170.400000 0.00000000000000001886 
	169.600000 0.00000000000000001277 
	169.200000 0.00000000000000000858 
	169.400000 0.00000000000000000574 
DT = 3

	 Tn 	 Dbeta 
	244.200000 0.00000000000010295691 
	241.600000 0.00000000000007972167 
	239.100000 0.00000000000006155254 
	236.600000 0.00000000000004738503 
	234.100000 0.00000000000003636471 
	231.600000 0.00000000000002783088 
	229.100000 0.00000000000002124540 
	226.600000 0.00000000000001616841 
	224.000000 0.00000000000001227449 
	221.500000 0.00000000000000928834 
	218.900000 0.00000000000000700679 
	216.200000 0.00000000000000527115 
	213.500000 0.00000000000000395472 
	210.800000 0.00000000000000295949 
	207.700000 0.00000000000000220963 
	204.300000 0.00000000000000164597 
	200.800000 0.00000000000000122228 
	197.100000 0.00000000000000090261 
	193.500000 0.00000000000000066213 
	190.000000 0.00000000000000048230 
	186.600000 0.00000000000000034872 
	183.400000 0.00000000000000025010 
	180.500000 0.00000000000000017782 
	177.800000 0.00000000000000012534 
	175.400000 0.00000000000000008757 
	173.400000 0.00000000000000006068 
	171.700000 0.00000000000000004169 
	170.400000 0.00000000000000002843 
	169.600000 0.00000000000000001924 
	169.200000 0.00000000000000001293 
	169.400000 0.00000000000000000864 
DT = 4

	 Tn 	 Dbeta 
	244.200000 0.00000000000013737307 
	241.600000 0.00000000000010638072 
	239.100000 0.00000000000008214338 
	236.600000 0.00000000000006324247 
	234.100000 0.00000000000004853891 
	231.600000 0.00000000000003715181 
	229.100000 0.00000000000002836366 
	226.600000 0.00000000000002158789 
	224.000000 0.00000000000001639059 
	221.500000 0.00000000000001240444 
	218.900000 0.00000000000000935856 
	216.200000 0.00000000000000704124 
	213.500000 0.00000000000000528341 
	210.800000 0.00000000000000395432 
	207.700000 0.00000000000000295286 
	204.300000 0.00000000000000219999 
	200.800000 0.00000000000000163400 
	197.100000 0.00000000000000120689 
	193.500000 0.00000000000000088552 
	190.000000 0.00000000000000064516 
	186.600000 0.00000000000000046657 
	183.400000 0.00000000000000033469 
	180.500000 0.00000000000000023801 
	177.800000 0.00000000000000016780 
	175.400000 0.00000000000000011726 
	173.400000 0.00000000000000008126 
	171.700000 0.00000000000000005583 
	170.400000 0.00000000000000003808 
	169.600000 0.00000000000000002577 
	169.200000 0.00000000000000001732 
	169.400000 0.00000000000000001158 
DT = 5

	 Tn 	 Dbeta 
	244.200000 0.00000000000017183180 
	241.600000 0.00000000000013307757 
	239.100000 0.00000000000010276708 
	236.600000 0.00000000000007912812 
	234.100000 0.00000000000006073705 
	231.600000 0.00000000000004649287 
	229.100000 0.00000000000003549870 
	226.600000 0.00000000000002702123 
	224.000000 0.00000000000002051811 
	221.500000 0.00000000000001552983 
	218.900000 0.00000000000001171788 
	216.200000 0.00000000000000881744 
	213.500000 0.00000000000000661702 
	210.800000 0.00000000000000495309 
	207.700000 0.00000000000000369924 
	204.300000 0.00000000000000275654 
	200.800000 0.00000000000000204774 
	197.100000 0.00000000000000151279 
	193.500000 0.00000000000000111019 
	190.000000 0.00000000000000080902 
	186.600000 0.00000000000000058518 
	183.400000 0.00000000000000041987 
	180.500000 0.00000000000000029865 
	177.800000 0.00000000000000021058 
	175.400000 0.00000000000000014718 
	173.400000 0.00000000000000010201 
	171.700000 0.00000000000000007010 
	170.400000 0.00000000000000004782 
	169.600000 0.00000000000000003236 
	169.200000 0.00000000000000002175 
	169.400000 0.00000000000000001454 
DT = 6

	 Tn 	 Dbeta 
	244.200000 0.00000000000020632957 
	241.600000 0.00000000000015980940 
	239.100000 0.00000000000012342142 
	236.600000 0.00000000000009504023 
	234.100000 0.00000000000007295775 
	231.600000 0.00000000000005585297 
	229.100000 0.00000000000004264966 
	226.600000 0.00000000000003246777 
	224.000000 0.00000000000002465652 
	221.500000 0.00000000000001866413 
	218.900000 0.00000000000001408443 
	216.200000 0.00000000000001059950 
	213.500000 0.00000000000000795535 
	210.800000 0.00000000000000595563 
	207.700000 0.00000000000000444866 
	204.300000 0.00000000000000331555 
	200.800000 0.00000000000000246345 
	197.100000 0.00000000000000182026 
	193.500000 0.00000000000000133610 
	190.000000 0.00000000000000097384 
	186.600000 0.00000000000000070455 
	183.400000 0.00000000000000050562 
	180.500000 0.00000000000000035970 
	177.800000 0.00000000000000025367 
	175.400000 0.00000000000000017734 
	173.400000 0.00000000000000012293 
	171.700000 0.00000000000000008449 
	170.400000 0.00000000000000005764 
	169.600000 0.00000000000000003901 
	169.200000 0.00000000000000002622 
	169.400000 0.00000000000000001753 
DT = 7

	 Tn 	 Dbeta 
	244.200000 0.00000000000024086287 
	241.600000 0.00000000000018657342 
	239.100000 0.00000000000014410418 
	236.600000 0.00000000000011097704 
	234.100000 0.00000000000008519963 
	231.600000 0.00000000000006523102 
	229.100000 0.00000000000004981569 
	226.600000 0.00000000000003792684 
	224.000000 0.00000000000002880531 
	221.500000 0.00000000000002180691 
	218.900000 0.00000000000001645790 
	216.200000 0.00000000000001238717 
	213.500000 0.00000000000000929821 
	210.800000 0.00000000000000696181 
	207.700000 0.00000000000000520101 
	204.300000 0.00000000000000387691 
	200.800000 0.00000000000000288106 
	197.100000 0.00000000000000212925 
	193.500000 0.00000000000000156321 
	190.000000 0.00000000000000113959 
	186.600000 0.00000000000000082463 
	183.400000 0.00000000000000059191 
	180.500000 0.00000000000000042117 
	177.800000 0.00000000000000029708 
	175.400000 0.00000000000000020771 
	173.400000 0.00000000000000014400 
	171.700000 0.00000000000000009898 
	170.400000 0.00000000000000006753 
	169.600000 0.00000000000000004571 
	169.200000 0.00000000000000003072 
	169.400000 0.00000000000000002054 
DT = 8

	 Tn 	 Dbeta 
	244.200000 0.00000000000027542823 
	241.600000 0.00000000000021336687 
	239.100000 0.00000000000016481318 
	236.600000 0.00000000000012693682 
	234.100000 0.00000000000009746132 
	231.600000 0.00000000000007462595 
	229.100000 0.00000000000005699594 
	226.600000 0.00000000000004339779 
	224.000000 0.00000000000003296396 
	221.500000 0.00000000000002495779 
	218.900000 0.00000000000001883799 
	216.200000 0.00000000000001418023 
	213.500000 0.00000000000001064541 
	210.800000 0.00000000000000797149 
	207.700000 0.00000000000000595618 
	204.300000 0.00000000000000444055 
	200.800000 0.00000000000000330050 
	197.100000 0.00000000000000243970 
	193.500000 0.00000000000000179148 
	190.000000 0.00000000000000130626 
	186.600000 0.00000000000000094542 
	183.400000 0.00000000000000067874 
	180.500000 0.00000000000000048304 
	177.800000 0.00000000000000034078 
	175.400000 0.00000000000000023831 
	173.400000 0.00000000000000016524 
	171.700000 0.00000000000000011359 
	170.400000 0.00000000000000007751 
	169.600000 0.00000000000000005247 
	169.200000 0.00000000000000003527 
	169.400000 0.00000000000000002358 
DT = 9

	 Tn 	 Dbeta 
	244.200000 0.00000000000031002223 
	241.600000 0.00000000000024018702 
	239.100000 0.00000000000018554625 
	236.600000 0.00000000000014291787 
	234.100000 0.00000000000010974149 
	231.600000 0.00000000000008403671 
	229.100000 0.00000000000006418960 
	226.600000 0.00000000000004887996 
	224.000000 0.00000000000003713196 
	221.500000 0.00000000000002811636 
	218.900000 0.00000000000002122437 
	216.200000 0.00000000000001597842 
	213.500000 0.00000000000001199678 
	210.800000 0.00000000000000898451 
	207.700000 0.00000000000000671406 
	204.300000 0.00000000000000500639 
	200.800000 0.00000000000000372170 
	197.100000 0.00000000000000275157 
	193.500000 0.00000000000000202087 
	190.000000 0.00000000000000147380 
	186.600000 0.00000000000000106689 
	183.400000 0.00000000000000076609 
	180.500000 0.00000000000000054530 
	177.800000 0.00000000000000038477 
	175.400000 0.00000000000000026911 
	173.400000 0.00000000000000018662 
	171.700000 0.00000000000000012831 
	170.400000 0.00000000000000008756 
	169.600000 0.00000000000000005928 
	169.200000 0.00000000000000003984 
	169.400000 0.00000000000000002663 
DT = 10

	 Tn 	 Dbeta 
	244.200000 0.00000000000034464147 
	241.600000 0.00000000000026703118 
	239.100000 0.00000000000020630126 
	236.600000 0.00000000000015891849 
	234.100000 0.00000000000012203879 
	231.600000 0.00000000000009346224 
	229.100000 0.00000000000007139583 
	226.600000 0.00000000000005437271 
	224.000000 0.00000000000004130881 
	221.500000 0.00000000000003128224 
	218.900000 0.00000000000002361676 
	216.200000 0.00000000000001778153 
	213.500000 0.00000000000001335214 
	210.800000 0.00000000000001000074 
	207.700000 0.00000000000000747453 
	204.300000 0.00000000000000557434 
	200.800000 0.00000000000000414461 
	197.100000 0.00000000000000306480 
	193.500000 0.00000000000000225134 
	190.000000 0.00000000000000164219 
	186.600000 0.00000000000000118901 
	183.400000 0.00000000000000085394 
	180.500000 0.00000000000000060794 
	177.800000 0.00000000000000042904 
	175.400000 0.00000000000000030013 
	173.400000 0.00000000000000020815 
	171.700000 0.00000000000000014313 
	170.400000 0.00000000000000009768 
	169.600000 0.00000000000000006613 
	169.200000 0.00000000000000004445 
	169.400000 0.00000000000000002972 
DT = 11

	 Tn 	 Dbeta 
	244.200000 0.00000000000037928262 
	241.600000 0.00000000000029389669 
	239.100000 0.00000000000022707610 
	236.600000 0.00000000000017493701 
	234.100000 0.00000000000013435191 
	231.600000 0.00000000000010290151 
	229.100000 0.00000000000007861382 
	226.600000 0.00000000000005987542 
	224.000000 0.00000000000004549402 
	221.500000 0.00000000000003445505 
	218.900000 0.00000000000002601486 
	216.200000 0.00000000000001958931 
	213.500000 0.00000000000001471130 
	210.800000 0.00000000000001102005 
	207.700000 0.00000000000000823751 
	204.300000 0.00000000000000614431 
	200.800000 0.00000000000000456915 
	197.100000 0.00000000000000337935 
	193.500000 0.00000000000000248286 
	190.000000 0.00000000000000181140 
	186.600000 0.00000000000000131177 
	183.400000 0.00000000000000094228 
	180.500000 0.00000000000000067095 
	177.800000 0.00000000000000047359 
	175.400000 0.00000000000000033134 
	173.400000 0.00000000000000022983 
	171.700000 0.00000000000000015806 
	170.400000 0.00000000000000010787 
	169.600000 0.00000000000000007304 
	169.200000 0.00000000000000004909 
	169.400000 0.00000000000000003282 
DT = 12

	 Tn 	 Dbeta 
	244.200000 0.00000000000041394237 
	241.600000 0.00000000000032078092 
	239.100000 0.00000000000024786868 
	236.600000 0.00000000000019097180 
	234.100000 0.00000000000014667956 
	231.600000 0.00000000000011235349 
	229.100000 0.00000000000008584278 
	226.600000 0.00000000000006538744 
	224.000000 0.00000000000004968709 
	221.500000 0.00000000000003763440 
	218.900000 0.00000000000002841836 
	216.200000 0.00000000000002140154 
	213.500000 0.00000000000001607408 
	210.800000 0.00000000000001204230 
	207.700000 0.00000000000000900287 
	204.300000 0.00000000000000671623 
	200.800000 0.00000000000000499527 
	197.100000 0.00000000000000369517 
	193.500000 0.00000000000000271539 
	190.000000 0.00000000000000198141 
	186.600000 0.00000000000000143515 
	183.400000 0.00000000000000103109 
	180.500000 0.00000000000000073431 
	177.800000 0.00000000000000051839 
	175.400000 0.00000000000000036274 
	173.400000 0.00000000000000025165 
	171.700000 0.00000000000000017308 
	170.400000 0.00000000000000011814 
	169.600000 0.00000000000000007999 
	169.200000 0.00000000000000005377 
	169.400000 0.00000000000000003594 
DT = 13

	 Tn 	 Dbeta 
	244.200000 0.00000000000044861745 
	241.600000 0.00000000000034768126 
	239.100000 0.00000000000026867694 
	236.600000 0.00000000000020702121 
	234.100000 0.00000000000015902044 
	231.600000 0.00000000000012181719 
	229.100000 0.00000000000009308190 
	226.600000 0.00000000000007090816 
	224.000000 0.00000000000005388755 
	221.500000 0.00000000000004081991 
	218.900000 0.00000000000003082697 
	216.200000 0.00000000000002321798 
