

Element = 0



 DT = 0

h 	 Alfa
6.000000e+001 	 1.950424e-013
6.100000e+001 	 1.958583e-013
6.200000e+001 	 1.966544e-013
6.300000e+001 	 1.974622e-013
6.400000e+001 	 1.982820e-013
6.500000e+001 	 1.991140e-013
6.600000e+001 	 1.999586e-013
6.700000e+001 	 2.008161e-013
6.800000e+001 	 2.017219e-013
6.900000e+001 	 2.026068e-013
7.000000e+001 	 2.035420e-013
7.100000e+001 	 2.045296e-013
7.200000e+001 	 2.055344e-013
7.300000e+001 	 2.065572e-013
7.400000e+001 	 2.077541e-013
7.500000e+001 	 2.090957e-013
7.600000e+001 	 2.105096e-013
7.700000e+001 	 2.120421e-013
7.800000e+001 	 2.135720e-013
7.900000e+001 	 2.150978e-013
8.000000e+001 	 2.166179e-013
8.100000e+001 	 2.180841e-013
8.200000e+001 	 2.194440e-013
8.300000e+001 	 2.207376e-013
8.400000e+001 	 2.219107e-013
8.500000e+001 	 2.229054e-013
8.600000e+001 	 2.237636e-013
8.700000e+001 	 2.244278e-013
8.800000e+001 	 2.248401e-013
8.900000e+001 	 2.250472e-013
9.000000e+001 	 2.249436e-013


 DT = 1

h 	 Alfa
6.000000e+001 	 1.947318e-013
6.100000e+001 	 1.955430e-013
6.200000e+001 	 1.963346e-013
6.300000e+001 	 1.971377e-013
6.400000e+001 	 1.979526e-013
6.500000e+001 	 1.987797e-013
6.600000e+001 	 1.996192e-013
6.700000e+001 	 2.004715e-013
6.800000e+001 	 2.013718e-013
6.900000e+001 	 2.022512e-013
7.000000e+001 	 2.031805e-013
7.100000e+001 	 2.041618e-013
7.200000e+001 	 2.051602e-013
7.300000e+001 	 2.061763e-013
7.400000e+001 	 2.073653e-013
7.500000e+001 	 2.086979e-013
7.600000e+001 	 2.101022e-013
7.700000e+001 	 2.116240e-013
7.800000e+001 	 2.131430e-013
7.900000e+001 	 2.146579e-013
8.000000e+001 	 2.161668e-013
8.100000e+001 	 2.176221e-013
8.200000e+001 	 2.189717e-013
8.300000e+001 	 2.202553e-013
8.400000e+001 	 2.214192e-013
8.500000e+001 	 2.224061e-013
8.600000e+001 	 2.232574e-013
8.700000e+001 	 2.239162e-013
8.800000e+001 	 2.243252e-013
8.900000e+001 	 2.245306e-013
9.000000e+001 	 2.244278e-013


 DT = 2

h 	 Alfa
6.000000e+001 	 1.944229e-013
6.100000e+001 	 1.952296e-013
6.200000e+001 	 1.960166e-013
6.300000e+001 	 1.968151e-013
6.400000e+001 	 1.976252e-013
6.500000e+001 	 1.984474e-013
6.600000e+001 	 1.992819e-013
6.700000e+001 	 2.001290e-013
6.800000e+001 	 2.010238e-013
6.900000e+001 	 2.018978e-013
7.000000e+001 	 2.028213e-013
7.100000e+001 	 2.037964e-013
7.200000e+001 	 2.047884e-013
7.300000e+001 	 2.057979e-013
7.400000e+001 	 2.069791e-013
7.500000e+001 	 2.083028e-013
7.600000e+001 	 2.096975e-013
7.700000e+001 	 2.112088e-013
7.800000e+001 	 2.127172e-013
7.900000e+001 	 2.142211e-013
8.000000e+001 	 2.157191e-013
8.100000e+001 	 2.171636e-013
8.200000e+001 	 2.185029e-013
8.300000e+001 	 2.197768e-013
8.400000e+001 	 2.209316e-013
8.500000e+001 	 2.219107e-013
8.600000e+001 	 2.227552e-013
8.700000e+001 	 2.234088e-013
8.800000e+001 	 2.238144e-013
8.900000e+001 	 2.240182e-013
9.000000e+001 	 2.239162e-013


 DT = 3

h 	 Alfa
6.000000e+001 	 1.941158e-013
