e1,e2,e3,e4,e5,l,,,,,,,,,
0.112,0.163,0.120,0.16,0.11,350,,,,,,,,,
0.243,0.258,0.270,0.282,0.294,360,,,,,,,,,
0.463,0.492,0.527,0.498,0.528,370,,,,,,,,,
0.797,0.859,0.903,0.825,0.885,380,,,,,,,,,
1.243,1.331,1.391,1.265,1.335,390,,,,,,,,,
1.687,1.772,1.870,1.702,1.909,400,,,,,,,,,
2.023,2.105,2.221,2.02,2.218,410,,,,,,,,,
2.146,2.206,2.295,2.14,2.281,420,,,,,,,,,
2.076,2.169,2.269,2.1,2.276,430,,,,,,,,,
1.913,2.018,2.066,1.949,1.986,440,,,,,,,,,
1.735,1.892,1.879,1.778,1.835,450,,,,,,,,,
1.601,1.668,1.723,1.637,1.68,460,,,,,,,,,
1.496,1.568,1.616,1.523,1.548,470,,,,,,,,,
1.404,1.469,1.507,1.436,1.466,480,,,,,,,,,
1.317,1.367,1.399,1.342,1.374,490,,,,,,,,,
1.200,1.242,1.266,1.225,1.259,500,,,,,,,,,
1.049,1.091,1.122,1.086,1.107,510,,,,,,,,,
0.883,0.919,0.936,0.924,0.939,520,,,,,,,,,
0.715,0.744,0.767,0.754,0.77,530,,,,,,,,,
0.563,0.586,0.602,0.6,0.624,540,,,,,,,,,
0.439,0.456,0.463,0.477,0.491,550,,,,,,,,,
0.335,0.346,0.352,0.377,0.382,560,,,,,,,,,
0.251,0.261,0.271,0.298,0.304,570,,,,,,,,,
0.193,0.199,0.209,0.242,0.249,580,,,,,,,,,
0.147,0.154,0.159,0.193,0.208,590,,,,,,,,,
0.125,0.128,0.144,0.169,0.165,600,,,,,,,,,
0.114,0.120,0.127,0.151,0.16,610,,,,,,,,,
